Nome_escola,Cod_inep,Municipio_polo,Cod_ibge,Enderenco_polo,Bairro_polo,long,lat,Gee,Tipo_ensino
ESCOLA ESTADUAL INAURA CASADO COSTA,27026744,Cajueiro,2701308,AVENIDA 22 DE MAIO,CENTRO,-36.15310351,-9.397243792,4ª,Escola de Ensino Regular
ESCOLA ESTADUAL INDIGENA BALBINO FERREIRA,27226794,Palmeira dos Índios,2706307,ALDEIA SERRA DO AMARO,ZONA RURAL,-36.64985223,-9.376957471,3ª,Escola Indígena
ESCOLA ESTADUAL INDIGENA JOSE GOMES CELESTINO,27226336,Palmeira dos Índios,2706307,ALDEIA INDIGENA BOQUEIRAO,ZONA RURAL,-36.65283405,-9.395220186,3ª,Escola Indígena
ESCOLA ESTADUAL INDIGENA JUVINO HENRIQUE DA SILVA,27047776,Pariconha,2706422,RUA JUVINO HENRIQUE DA SILVA,ALTO DA BOA VISTA,-38.00776212,-9.26190586,11ª,Escola Indígena
ESCOLA ESTADUAL INDIGENA MATA DA CAFURNA,27013944,Palmeira dos Índios,2706307,ALDEIA MATA DA CAFURNA CAIXA POSTAL Nº 76,ZONA RURAL,-36.58658821,-9.397632045,3ª,Escola Indígena
ESCOLA ESTADUAL INDIGENA PAJE FRANCISCO QUEIROZ SUIRA,27046265,Porto Real do Colégio,2707503,ALDEIA INDIGENA KARIRI XOCO,ZONA RURAL,-36.82194633,-10.14083211,9ª,Escola Indígena
ESCOLA ESTADUAL INDIGENA PAJE MIGUEL SELESTINO DA SILVA,27014606,Palmeira dos Índios,2706307,ALDEIA FAZENDA CANTO,ZONA RURAL,-36.60192627,-9.390637901,3ª,Escola Indígena
ESCOLA ESTADUAL INDIGENA XUKURU KARIRI YAPI LEANAWAN,27046338,Palmeira dos Índios,2706307,ALDEIA COITE SERRA DO CANDARA,,-36.61112408,-9.387509031,3ª,Escola Indígena
ESCOLA ESTADUAL IZIDRO TEIXEIRA,27022277,Chã Preta,2701902,RUA PADRE DIMAS,CENTRO,-36.29765777,-9.256743987,4ª,Escola em tempo integral
ESCOLA ESTADUAL JARSEN COSTA,27036464,Maceió,2704302,CONJUNTO CLAUDIONOR SAMPAIO,JACINTINHO,-35.70766091,-9.635532416,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOAO FRANCISCO SOARES,27003892,Olho d'Água do Casado,2705804,RUA JOAO FRANCISCO SOARES,CENTRO,-37.83156949,-9.500979199,11ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE,27040771,Rio Largo,2707701,CONJUNTO HABITACIONAL JOSE FERNANDES TORRES,CENTRO,-35.85425524,-9.482044748,12ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOAO PAULO II,27035581,Maceió,2704302,RUA MANOEL INACIO,CHA DA JAQUEIRA,-35.74598736,-9.613475126,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOAQUIM DIEGUES,27025080,Viçosa,2709400,RUA MOTA LIMA,CENTRO,-36.24023138,-9.370446206,4ª,Escola em tempo integral
ESCOLA ESTADUAL JORNALISTA FREITAS NETO,27036669,Maceió,2704302,RUA DR OSWALDO CRUZ,CHA DE BEBEDOURO,-35.76092526,-9.618807457,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL JORNALISTA LAFAIETTE BELO,27035590,Maceió,2704302,RUA A-40,BENEDITO BENTES,-35.72735895,-9.54524953,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL JORNALISTA RAUL LIMA,27039013,Maceió,2704302,RUA DA IGREJA,IPIOCA,-35.60768155,-9.528249495,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOSE CORREIA DA SILVA TITARA,27036731,Marechal Deodoro,2704708,RUA DO ANTIGO CAJUEIRO,MASSAGUEIRA,-35.73972836,-9.640643607,1ª,Escola em tempo integral
ESCOLA ESTADUAL JOSE OLIVEIRA SILVA,27038521,Maceió,2704302,RUA JARDIM BOA ESPERANCA,VERGEL DO LAGO,-35.75357813,-9.655794548,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOSE RIBEIRO CAMINHA,27029166,Campestre,2701357,RUA JOSE FERREIRA DE LIMA,CENTRO,-35.56721415,-8.852181308,10ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOSE SOARES FILHO,27008479,São José da Tapera,2708402,AV ELISIO DA SILVA MAIA,CENTRO,-37.38060965,-9.562209662,8ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOSE SOARES PINTO,27005984,Pão de Açúcar,2706406,AV MAESTRO MANOELITO BEZERRA LIMA,CENTRO,-37.431541,-9.749784,8ª,Escola de Ensino Regular
ESCOLA ESTADUAL JOSE VICTORINO DA ROCHA,27013979,Palmeira dos Índios,2706307,PRACA ANTONIO LEITE,CANAFISTULA,-36.71266892,-9.398564885,3ª,Escola em tempo integral
ESCOLA ESTADUAL JOSEFA CAVALCANTE SURUAGY,27041603,Boca da Mata,2701001,AVENIDA DOM PEDRO II,CENTRO,-36.20748101,-9.647824118,2ª,Escola em tempo integral
ESCOLA ESTADUAL JUVENAL LOPES F DE OMENA,27026370,Branquinha,2701100,RUA EURICO MIRANDA DA COSTA,CENTRO,-36.01704623,-9.246153035,7ª,Escola em tempo integral
ESCOLA ESTADUAL LIONS MACEIO PAJUCARA,27036758,Maceió,2704302,RUA DIEGUES JUNIOR - REGINALDO,POCO,-35.72899487,-9.656309532,1ª,Escola em tempo integral
ESCOLA ESTADUAL LUCILO JOSE RIBEIRO,27008452,São José da Tapera,2708402,AVENIDA DEPUTADO ELISIO DA SILVA MAIA,CENTRO,-37.38270436,-9.563025227,8ª,Escola em tempo integral
ESCOLA ESTADUAL LUIZ AUGUSTO DE AZEVEDO DE MENEZES,27003221,Delmiro Gouveia,2702405,RUA NASCIMENTO BANDEIRA,CENTRO,-38.00034141,-9.385573987,11ª,Escola em tempo integral
ESCOLA ESTADUAL LUIZ BASTOS,27001237,Canapi,2701605,AVENIDA JOAQUIM TETE,CENTRO,-37.60296931,-9.117633843,11ª,Escola de Ensino Regular
ESCOLA ESTADUAL LUIZ DUARTE,27012166,Estrela de Alagoas,2702553,RUA DOM EPAMINONDAS,CENTRO,-36.75755575,-9.389739029,3ª,Escola em tempo integral
ESCOLA ESTADUAL MAJ EDUARDO EMILIANO DA FONSECA,27038319,Maceió,2704302,RUA DR LUIZ DE BARROS,VERGEL DO LAGO,-35.75973207,-9.653295918,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL MAJOR LUIZ CAVALCANTE,27028380,Jacuípe,2703502,CONJUNTO HABITACIONAL AMARO FELIX DA SILVA,CENTRO,-35.45450833,-8.841852295,10ª,Escola em tempo integral
ESCOLA ESTADUAL MANOEL ANDRE,27016412,Arapiraca,2700300,AV JOSE LUCIO DA SILVA,JARDIM ESPERANCA,-36.67743642,-9.728024965,5ª,Escola de Ensino Regular
ESCOLA ESTADUAL MANOEL DE ARAUJO DORIA,27216616,Maceió,2704302,CJ HENRIQUE EQUELMAN AV SENADOR TEOTONIO VILELA,ANTARES,-35.74218268,-9.565112149,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL MANOEL DE MATOS,27023516,Santana do Mundaú,2708105,RESIDENCIAL SANTANA DO MUNDAU,JUSSARA,-36.2209852,-9.170350982,7ª,Escola de Ensino Regular
ESCOLA ESTADUAL MANOEL LEANDRO DE LIRA,27018350,Feira Grande,2702603,AVENIDA FREITAS CAVALCANTE,CENTRO,-36.67722043,-9.899897801,5ª,Escola de Ensino Regular
ESCOLA ESTADUAL MANOEL PASSOS LIMA,27014037,Palmeira dos Índios,2706307,RUA GENESIO MOREIRA,SAO FRANCISCO,-36.621703,-9.419114,3ª,Escola em tempo integral
ESCOLA ESTADUAL MANOEL PEREIRA FILHO,27005852,Palestina,2706208,RUA PEDRO FELIX DE MELO,CENTRO,-37.32995161,-9.672331753,8ª,Escola de Ensino Regular
ESCOLA ESTADUAL MANOEL SIMPLICIO DO NASCIMENTO,27036421,Maceió,2704302,R TEN CEL EXERC. BRAS. PEDRO JERONIMO DOS SANTOS,JACINTINHO,-35.72098031,-9.644256776,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL MANUEL BALTAZAR PEREIRA DIEGUES JUNIOR,27053520,Maceió,2704302,QUADRA 7,CIDADE UNIVERSITARIA,-35.790764,-9.539744,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL MARCELO RESENDE,27226948,Maceió,2704302,RUA LAERTE LEAO,SITIO SAO JORGE,-35.71002313,-9.622794048,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL MARCOS ANTONIO CAVALCANTI SILVA,27216608,Maceió,2704302,AV ANTONIO LISBOA DE AMORIM,BENEDITO BENTES I,-35.72994865,-9.547800599,13ª,Escola em tempo integral
ESCOLA ESTADUAL MARIA AMALIA,27036723,Maceió,2704302,AVENIDA VALDEMAR RUFINO DOS SANTOS,FERNAO VELHO,-35.79778153,-9.586373366,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL MARIA AMELIA SAMPAIO LUZ,27012638,Igaci,2703106,AVENIDA SERAPIAO SAMPAIO,CENTRO,-36.63261259,-9.537100678,3ª,Escola de Ensino Regular
ESCOLA ESTADUAL MARIA DE LOURDES SANTOS DA SILVA,27226131,Batalha,2700706,RUA PROJETADA,COHAB,-37.12875069,-9.666104098,8ª,Escola em tempo integral
ESCOLA ESTADUAL MARIA IVONE SANTOS DE OLIVEIRA,27235807,Maceió,2704302,RUA JOSE AUGUSTO LESSA,CIDADE UNIVERSITARIA,-35.78417567,-9.546454272,13ª,Escola em tempo integral
ESCOLA ESTADUAL MARIA RITA LYRA DE ALMEIDA,27220036,Maceió,2704302,AVENIDA SIQUEIRA CAMPOS,TRAPICHE DA BARRA,-35.76550769,-9.671492316,1ª,Escola em tempo integral
